"","lon","lat"
"1053",-86.158068,39.768403
"1054",-71.7147951,10.6544509
"1055",-92.2634136,14.9055567
"1056",-100.9836611,25.43208
"1058",-103.3496092,20.6596988
"1059",-74.0059413,40.7127837
"1063",-85.6102507,42.2837336
"1064",-85.6023643,44.3148443
"1066",-73.4170673,40.6789893
"1067",-80.1917902,25.7616798
"1068",-83.753428,9.748917
"1069",-73.4673454,40.7764882
"1070",-95.2352501,38.9716689
"1071",-84.3879824,33.7489954
"1072",-122.6764816,45.5230622
"1074",-85.7613536,33.8137125
"1075",14.5282718,45.9588213
"1076",-71.0588801,42.3600825
"1077",-79.3831843,43.653226
"1078",-121.2160526,37.7974273
"1079",-4.2026458,56.4906712
"1081",-118.2117257,34.0297895
"1082",-73.7868236,42.9854395
"1083",-4.251806,55.864237
"1084",-112.0740373,33.4483771
"1087",-67.9972104,10.1579312
"1088",-95.712891,37.09024
"1090",-74.0059413,40.7127837
"1093",-0.1277583,51.5073509
"1094",-71.0588801,42.3600825
"1095",-0.1277583,51.5073509
"1096",-82.907123,40.4172871
"1097",-3.8080783,53.0711149
"1098",-3.435973,55.378051
"1099",-3.943646,51.62144
"1100",-1.3289821,54.5704551
"1101",-2.2426305,53.4807593
"1103",-74.4056612,40.0583238
"1104",-0.902918,51.4516523
"1105",-71.3824374,42.4072107
"1106",-3.435973,55.378051
"1107",-95.712891,37.09024
"1108",-77.1945247,41.2033216
"1109",153.1932534,-28.6104322
"1112",-117.9242966,33.8703596
"1113",-118.4911912,34.0194543
"1114",-101.3544964,20.6786652
"1115",-71.7147951,10.6544509
"1116",-84.3879824,33.7489954
"1117",-74.072092,4.7109886
"1118",-95.712891,37.09024
"1119",2.1734035,41.3850639
"1120",-78.183406,-1.831239
"1121",-56.1645314,-34.9011127
"1122",2.5280732,49.6636127
"1123",-97.3307658,32.7554883
"1125",-122.286865,38.2975381
"1126",-82.9000751,32.1656221
"1127",-117.2897652,34.1083449
"1129",101.4477793,0.5070677
"1130",-79.3831843,43.653226
"1131",-57.3666027,-25.501405
"1132",-75.1652215,39.9525839
"1133",-79.532157,43.8169837
"1134",18.643501,60.128161
"1135",107.3202333,-6.3054002
"1136",-66.6140616,18.0110768
"1138",90.4125181,23.810332
"1139",77.2090212,28.6139391
